iter	Passed	Remaining
0	0	34
1	0	32
2	1	33
3	1	31
4	1	31
5	1	30
6	2	29
7	2	29
8	2	28
9	3	28
10	3	28
11	3	27
12	4	27
13	4	26
14	4	26
15	4	26
16	5	26
17	5	25
18	6	25
19	6	25
20	6	24
21	6	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	20
37	12	19
38	12	19
39	12	19
40	13	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	15	15
50	16	15
51	16	15
52	16	14
53	17	14
54	17	14
55	17	13
56	18	13
57	18	13
58	18	13
59	19	12
60	19	12
61	19	12
62	20	11
63	20	11
64	20	11
65	21	10
66	21	10
67	21	10
68	22	10
69	22	9
70	22	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	27	5
82	27	5
83	27	5
84	28	4
85	28	4
86	28	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	31	1
94	31	1
95	31	1
96	32	0
97	32	0
98	32	0
99	33	0
